date_key,full_date,day,month,month_name,quarter,year,week_of_year,day_name,is_weekend
20170606,2017-06-06,6,6,June,Q2,2017,23,Tuesday,0
20170607,2017-06-07,7,6,June,Q2,2017,23,Wednesday,0
20170608,2017-06-08,8,6,June,Q2,2017,23,Thursday,0
20170609,2017-06-09,9,6,June,Q2,2017,23,Friday,0
20170610,2017-06-10,10,6,June,Q2,2017,23,Saturday,1
20170611,2017-06-11,11,6,June,Q2,2017,23,Sunday,1
20170612,2017-06-12,12,6,June,Q2,2017,24,Monday,0
20170613,2017-06-13,13,6,June,Q2,2017,24,Tuesday,0
20170614,2017-06-14,14,6,June,Q2,2017,24,Wednesday,0
20170615,2017-06-15,15,6,June,Q2,2017,24,Thursday,0
20170616,2017-06-16,16,6,June,Q2,2017,24,Friday,0
20170617,2017-06-17,17,6,June,Q2,2017,24,Saturday,1
20170618,2017-06-18,18,6,June,Q2,2017,24,Sunday,1
20170619,2017-06-19,19,6,June,Q2,2017,25,Monday,0
20170620,2017-06-20,20,6,June,Q2,2017,25,Tuesday,0
20170621,2017-06-21,21,6,June,Q2,2017,25,Wednesday,0
20170622,2017-06-22,22,6,June,Q2,2017,25,Thursday,0
20170623,2017-06-23,23,6,June,Q2,2017,25,Friday,0
20170624,2017-06-24,24,6,June,Q2,2017,25,Saturday,1
20170625,2017-06-25,25,6,June,Q2,2017,25,Sunday,1
20170626,2017-06-26,26,6,June,Q2,2017,26,Monday,0
20170627,2017-06-27,27,6,June,Q2,2017,26,Tuesday,0
20170628,2017-06-28,28,6,June,Q2,2017,26,Wednesday,0
20170629,2017-06-29,29,6,June,Q2,2017,26,Thursday,0
20170630,2017-06-30,30,6,June,Q2,2017,26,Friday,0
20170701,2017-07-01,1,7,July,Q3,2017,26,Saturday,1
20170702,2017-07-02,2,7,July,Q3,2017,26,Sunday,1
20170703,2017-07-03,3,7,July,Q3,2017,27,Monday,0
20170704,2017-07-04,4,7,July,Q3,2017,27,Tuesday,0
20170705,2017-07-05,5,7,July,Q3,2017,27,Wednesday,0
20170706,2017-07-06,6,7,July,Q3,2017,27,Thursday,0
20170707,2017-07-07,7,7,July,Q3,2017,27,Friday,0
20170708,2017-07-08,8,7,July,Q3,2017,27,Saturday,1
20170709,2017-07-09,9,7,July,Q3,2017,27,Sunday,1
20170710,2017-07-10,10,7,July,Q3,2017,28,Monday,0
20170711,2017-07-11,11,7,July,Q3,2017,28,Tuesday,0
20170712,2017-07-12,12,7,July,Q3,2017,28,Wednesday,0
20170713,2017-07-13,13,7,July,Q3,2017,28,Thursday,0
20170714,2017-07-14,14,7,July,Q3,2017,28,Friday,0
20170715,2017-07-15,15,7,July,Q3,2017,28,Saturday,1
20170716,2017-07-16,16,7,July,Q3,2017,28,Sunday,1
20170717,2017-07-17,17,7,July,Q3,2017,29,Monday,0
20170718,2017-07-18,18,7,July,Q3,2017,29,Tuesday,0
20170719,2017-07-19,19,7,July,Q3,2017,29,Wednesday,0
20170720,2017-07-20,20,7,July,Q3,2017,29,Thursday,0
20170721,2017-07-21,21,7,July,Q3,2017,29,Friday,0
20170722,2017-07-22,22,7,July,Q3,2017,29,Saturday,1
20170723,2017-07-23,23,7,July,Q3,2017,29,Sunday,1
20170724,2017-07-24,24,7,July,Q3,2017,30,Monday,0
20170725,2017-07-25,25,7,July,Q3,2017,30,Tuesday,0
20170726,2017-07-26,26,7,July,Q3,2017,30,Wednesday,0
20170727,2017-07-27,27,7,July,Q3,2017,30,Thursday,0
20170728,2017-07-28,28,7,July,Q3,2017,30,Friday,0
20170729,2017-07-29,29,7,July,Q3,2017,30,Saturday,1
20170730,2017-07-30,30,7,July,Q3,2017,30,Sunday,1
20170731,2017-07-31,31,7,July,Q3,2017,31,Monday,0
20170801,2017-08-01,1,8,August,Q3,2017,31,Tuesday,0
20170802,2017-08-02,2,8,August,Q3,2017,31,Wednesday,0
20170803,2017-08-03,3,8,August,Q3,2017,31,Thursday,0
20170804,2017-08-04,4,8,August,Q3,2017,31,Friday,0
20170805,2017-08-05,5,8,August,Q3,2017,31,Saturday,1
20170806,2017-08-06,6,8,August,Q3,2017,31,Sunday,1
20170807,2017-08-07,7,8,August,Q3,2017,32,Monday,0
20170808,2017-08-08,8,8,August,Q3,2017,32,Tuesday,0
20170809,2017-08-09,9,8,August,Q3,2017,32,Wednesday,0
20170810,2017-08-10,10,8,August,Q3,2017,32,Thursday,0
20170811,2017-08-11,11,8,August,Q3,2017,32,Friday,0
20170812,2017-08-12,12,8,August,Q3,2017,32,Saturday,1
20170813,2017-08-13,13,8,August,Q3,2017,32,Sunday,1
20170814,2017-08-14,14,8,August,Q3,2017,33,Monday,0
20170815,2017-08-15,15,8,August,Q3,2017,33,Tuesday,0
20170816,2017-08-16,16,8,August,Q3,2017,33,Wednesday,0
